config,role,seed_a,seed_b,layer,raw_diag_mean,matched_mean,random_perm_mean,matched_minus_random,raw_role_similarity,aligned_role_similarity,random_role_similarity,raw_top_head_match,aligned_top_head_match,best_assignment_json
uniform4,local,1,2,0,0.9383736848831177,0.9440485239028931,0.9413699048757553,0.0026786190271377297,0.6316584362698934,0.42932814989797907,0.591238836503812,False,False,"[[0, 2], [1, 3], [2, 0], [3, 1]]"
uniform4,induction,1,2,0,0.9383736848831177,0.9440485239028931,0.9413699048757553,0.0026786190271377297,0.6089864510602365,0.8392484612613584,0.7427975324497613,False,True,"[[0, 2], [1, 3], [2, 0], [3, 1]]"
uniform4,local,1,2,1,0.9534270167350769,0.9534504413604736,0.9534228056669235,2.7635693550132068e-05,0.8505036880256339,0.8310546851475453,0.766090002167263,True,False,"[[0, 3], [1, 1], [2, 2], [3, 0]]"
uniform4,induction,1,2,1,0.9534270167350769,0.9534504413604736,0.9534228056669235,2.7635693550132068e-05,0.8826051274121931,0.8685781942888687,0.8382104855992121,True,False,"[[0, 3], [1, 1], [2, 2], [3, 0]]"
uniform4,local,1,3,0,0.9385782480239868,0.9424496293067932,0.9403674519062042,0.002082177400589025,0.5647207256726691,0.2533436936365119,0.5205140060055615,False,False,"[[0, 3], [1, 1], [2, 0], [3, 2]]"
uniform4,induction,1,3,0,0.9385782480239868,0.9424496293067932,0.9403674519062042,0.002082177400589025,0.42717425038938883,0.7742292914213573,0.529350443477114,False,True,"[[0, 3], [1, 1], [2, 0], [3, 2]]"
uniform4,local,1,3,1,0.8986057043075562,0.8986445665359497,0.8985948276519775,4.9738883972194614e-05,0.5836645067479941,0.6340542082160332,0.6973794699986915,False,False,"[[0, 3], [1, 2], [2, 0], [3, 1]]"
uniform4,induction,1,3,1,0.8986057043075562,0.8986445665359497,0.8985948276519775,4.9738883972194614e-05,0.8014023360553499,0.8921663831085708,0.850827360465727,False,True,"[[0, 3], [1, 2], [2, 0], [3, 1]]"
uniform4,local,1,4,0,0.9340507388114929,0.9388081431388855,0.934797375202179,0.004010767936706516,0.2216393624363252,0.5814625147213175,0.37735772271400775,False,True,"[[0, 2], [1, 0], [2, 1], [3, 3]]"
uniform4,induction,1,4,0,0.9340507388114929,0.9388081431388855,0.934797375202179,0.004010767936706516,0.5859342420888303,0.8903156392799575,0.61720245925108,False,True,"[[0, 2], [1, 0], [2, 1], [3, 3]]"
uniform4,local,1,4,1,0.9822713136672974,0.9823543429374695,0.9823024606704712,5.188226699825993e-05,0.48930569896921183,0.87299002067956,0.6806875155428384,False,False,"[[0, 2], [1, 0], [2, 3], [3, 1]]"
uniform4,induction,1,4,1,0.9822713136672974,0.9823543429374695,0.9823024606704712,5.188226699825993e-05,0.7732867778432597,0.8671432494329001,0.8299740462657499,False,False,"[[0, 2], [1, 0], [2, 3], [3, 1]]"
uniform4,local,1,5,0,0.9418186545372009,0.9444005489349365,0.9422544854879379,0.002146063446998636,0.24158238688965428,0.2387359477215989,0.3918082598234783,False,False,"[[0, 3], [1, 1], [2, 0], [3, 2]]"
uniform4,induction,1,5,0,0.9418186545372009,0.9444005489349365,0.9422544854879379,0.002146063446998636,0.2476736329172604,0.5947286739492289,0.3759393969083731,False,True,"[[0, 3], [1, 1], [2, 0], [3, 2]]"
uniform4,local,1,5,1,0.9436806440353394,0.9437351226806641,0.9436706554889679,6.446719169617143e-05,0.7555038277941626,0.796564323810535,0.755155433951242,False,True,"[[0, 3], [1, 0], [2, 2], [3, 1]]"
uniform4,induction,1,5,1,0.9436806440353394,0.9437351226806641,0.9436706554889679,6.446719169617143e-05,0.800690535141334,0.8689382161132638,0.8253813006821151,False,True,"[[0, 3], [1, 0], [2, 2], [3, 1]]"
uniform4,local,2,3,0,0.9298390746116638,0.9298390746116638,0.9246140652894974,0.005225009322166407,0.23532397931848936,0.23532397931848936,0.49684367889274755,False,False,"[[0, 0], [1, 1], [2, 2], [3, 3]]"
uniform4,induction,2,3,0,0.9298390746116638,0.9298390746116638,0.9246140652894974,0.005225009322166407,0.6170297662175839,0.6170297662175839,0.5162309215199701,True,True,"[[0, 0], [1, 1], [2, 2], [3, 3]]"
uniform4,local,2,3,1,0.9720571041107178,0.9721192717552185,0.9720636022090912,5.566954612734598e-05,0.6995831707988623,0.8503833935034898,0.7422447329269152,False,True,"[[0, 3], [1, 1], [2, 0], [3, 2]]"
uniform4,induction,2,3,1,0.9720571041107178,0.9721192717552185,0.9720636022090912,5.566954612734598e-05,0.9124050055699423,0.8799900236235335,0.9120107030394639,False,False,"[[0, 3], [1, 1], [2, 0], [3, 2]]"
uniform4,local,2,4,0,0.9295656681060791,0.9314683079719543,0.9276850199699402,0.003783288002014107,0.17935265960879165,0.17935265960879154,0.35514106610297236,False,False,"[[0, 1], [1, 3], [2, 2], [3, 0]]"
uniform4,induction,2,4,0,0.9295656681060791,0.9314683079719543,0.9276850199699402,0.003783288002014107,0.7567066577605907,0.7665521301694518,0.6152367734880261,False,True,"[[0, 1], [1, 3], [2, 2], [3, 0]]"
uniform4,local,2,4,1,0.9594041109085083,0.9594592452049255,0.9594189339876175,4.031121730807552e-05,0.6388020109435779,0.7599554634748824,0.7040969167379535,False,False,"[[0, 2], [1, 3], [2, 0], [3, 1]]"
uniform4,induction,2,4,1,0.9594041109085083,0.9594592452049255,0.9594189339876175,4.031121730807552e-05,0.8881650458327883,0.8464441590221994,0.8887284580865257,False,False,"[[0, 2], [1, 3], [2, 0], [3, 1]]"
uniform4,local,2,5,0,0.9293493032455444,0.930903971195221,0.9295654535293579,0.001338517665863015,0.17501388674628626,0.17501388674628615,0.3402163921605122,False,False,"[[0, 1], [1, 3], [2, 2], [3, 0]]"
uniform4,induction,2,5,0,0.9293493032455444,0.930903971195221,0.9295654535293579,0.001338517665863015,0.4709651648387232,0.32888974769610824,0.36939458889306875,True,False,"[[0, 1], [1, 3], [2, 2], [3, 0]]"
uniform4,local,2,5,1,0.95562344789505,0.9557731747627258,0.9556747108697892,9.846389293666213e-05,0.7498337770114545,0.7315171143895932,0.8026817103447741,False,False,"[[0, 2], [1, 1], [2, 0], [3, 3]]"
uniform4,induction,2,5,1,0.95562344789505,0.9557731747627258,0.9556747108697892,9.846389293666213e-05,0.7433172164588282,0.7824727873022934,0.8109234425855703,False,False,"[[0, 2], [1, 1], [2, 0], [3, 3]]"
uniform4,local,3,4,0,0.9259872436523438,0.9272612929344177,0.9230669075250626,0.004194385409355128,0.5420482228642658,0.680716783938667,0.34560227432989754,True,True,"[[0, 3], [1, 0], [2, 2], [3, 1]]"
uniform4,induction,3,4,0,0.9259872436523438,0.9272612929344177,0.9230669075250626,0.004194385409355128,0.37373642397817464,0.41908382691729384,0.4845728481552867,False,False,"[[0, 3], [1, 0], [2, 2], [3, 1]]"
uniform4,local,3,4,1,0.8996001482009888,0.8996754884719849,0.8995903450250625,8.514344692234221e-05,0.863585562167059,0.5313648648874224,0.6492730014230561,True,False,"[[0, 1], [1, 0], [2, 3], [3, 2]]"
uniform4,induction,3,4,1,0.8996001482009888,0.8996754884719849,0.8995903450250625,8.514344692234221e-05,0.9303062425306884,0.878255404312569,0.886325429813812,False,False,"[[0, 1], [1, 0], [2, 3], [3, 2]]"
uniform4,local,3,5,0,0.9227747917175293,0.9258163571357727,0.9220708215236664,0.003745535612106332,0.6613653691036534,0.6740868488676317,0.33321241115117417,True,True,"[[0, 0], [1, 3], [2, 2], [3, 1]]"
uniform4,induction,3,5,0,0.9227747917175293,0.9258163571357727,0.9220708215236664,0.003745535612106332,0.7522608605989045,0.8204993825278716,0.3288881600207664,True,True,"[[0, 0], [1, 3], [2, 2], [3, 1]]"
uniform4,local,3,5,1,0.958577036857605,0.9587520956993103,0.9586183142662048,0.0001337814331054954,0.6236869671795628,0.6236869671795628,0.7252856923606175,False,False,"[[0, 1], [1, 0], [2, 3], [3, 2]]"
uniform4,induction,3,5,1,0.958577036857605,0.9587520956993103,0.9586183142662048,0.0001337814331054954,0.7894622862516034,0.7894622862516034,0.8252731817485811,True,False,"[[0, 1], [1, 0], [2, 3], [3, 2]]"
uniform4,local,4,5,0,0.9189513325691223,0.9241222143173218,0.921255435347557,0.0028667789697647272,0.8763440808981071,0.1433268610750309,0.374792439859037,True,False,"[[0, 3], [1, 0], [2, 1], [3, 2]]"
uniform4,induction,4,5,0,0.9189513325691223,0.9241222143173218,0.921255435347557,0.0028667789697647272,0.2519888416794842,0.7044130346692714,0.36388838070553414,False,True,"[[0, 3], [1, 0], [2, 1], [3, 2]]"
uniform4,local,4,5,1,0.9202260971069336,0.9202280044555664,0.9201462095975876,8.179485797876751e-05,0.6867243953236049,0.6867243953236049,0.7154492651053763,False,False,"[[0, 1], [1, 0], [2, 2], [3, 3]]"
uniform4,induction,4,5,1,0.9202260971069336,0.9202280044555664,0.9201462095975876,8.179485797876751e-05,0.7418822716028597,0.7418822716028597,0.8125208208404667,False,False,"[[0, 1], [1, 0], [2, 2], [3, 3]]"
hetero4,local,1,2,0,0.9199610352516174,0.9232206344604492,0.9203530681133271,0.0028675663471221524,0.2951093837651704,0.5841383112462408,0.49526883865469457,False,True,"[[0, 2], [1, 3], [2, 1], [3, 0]]"
hetero4,induction,1,2,0,0.9199610352516174,0.9232206344604492,0.9203530681133271,0.0028675663471221524,0.2444323651404321,0.640640048154896,0.35567269314014177,False,True,"[[0, 2], [1, 3], [2, 1], [3, 0]]"
hetero4,local,1,2,1,0.7641967535018921,0.7642116546630859,0.7641709417104721,4.0712952613874975e-05,0.9723093719898748,0.04084945476996871,0.2736754591041727,True,False,"[[0, 0], [1, 3], [2, 2], [3, 1]]"
hetero4,induction,1,2,1,0.7641967535018921,0.7642116546630859,0.7641709417104721,4.0712952613874975e-05,0.9789346277819971,0.12300490719458756,0.3388042659792497,True,False,"[[0, 0], [1, 3], [2, 2], [3, 1]]"
hetero4,local,1,3,0,0.926432728767395,0.9279895424842834,0.9244346660375595,0.0035548764467239202,0.34281608991884294,0.6398875433093804,0.3426085049606701,False,True,"[[0, 0], [1, 1], [2, 3], [3, 2]]"
hetero4,induction,1,3,0,0.926432728767395,0.9279895424842834,0.9244346660375595,0.0035548764467239202,0.4141511420634959,0.1726336019370338,0.3335536494419856,False,False,"[[0, 0], [1, 1], [2, 3], [3, 2]]"
hetero4,local,1,3,1,0.9699431657791138,0.9700896739959717,0.9699316394329071,0.00015803456306462405,0.9969423363904358,0.061359761086386855,0.25541848646461046,True,False,"[[0, 0], [1, 1], [2, 3], [3, 2]]"
hetero4,induction,1,3,1,0.9699431657791138,0.9700896739959717,0.9699316394329071,0.00015803456306462405,0.9794637437203598,0.18744211050894388,0.3641200484504031,True,False,"[[0, 0], [1, 1], [2, 3], [3, 2]]"
hetero4,local,1,4,0,0.9165046215057373,0.9167453646659851,0.911893237233162,0.00485212743282315,0.30884456790244896,0.30884456790244896,0.46024254654064056,False,False,"[[0, 0], [1, 2], [2, 1], [3, 3]]"
hetero4,induction,1,4,0,0.9165046215057373,0.9167453646659851,0.911893237233162,0.00485212743282315,0.20151729947031782,0.23126371468609142,0.3481707062924568,False,False,"[[0, 0], [1, 2], [2, 1], [3, 3]]"
hetero4,local,1,4,1,0.6844148635864258,0.6844608783721924,0.6843782311677933,8.26472043991e-05,0.9807405320186969,0.9602047374395586,0.25297231538714154,True,True,"[[0, 1], [1, 2], [2, 0], [3, 3]]"
hetero4,induction,1,4,1,0.6844148635864258,0.6844608783721924,0.6843782311677933,8.26472043991e-05,0.9710150023464593,0.9026503613165701,0.34118462562907076,True,True,"[[0, 1], [1, 2], [2, 0], [3, 3]]"
hetero4,local,1,5,0,0.9211315512657166,0.9269862174987793,0.9227329552173614,0.004253262281417869,0.7158959169269623,0.4188244635364248,0.48450993889551397,True,False,"[[0, 2], [1, 3], [2, 1], [3, 0]]"
hetero4,induction,1,5,0,0.9211315512657166,0.9269862174987793,0.9227329552173614,0.004253262281417869,0.8031258936880529,0.18120047433059427,0.34310929512029276,True,False,"[[0, 2], [1, 3], [2, 1], [3, 0]]"
hetero4,local,1,5,1,0.8201106786727905,0.8201476335525513,0.8200520467758179,9.558677673338067e-05,0.8336189408753737,0.22007383574414718,0.2847462841465762,True,False,"[[0, 1], [1, 0], [2, 3], [3, 2]]"
hetero4,induction,1,5,1,0.8201106786727905,0.8201476335525513,0.8200520467758179,9.558677673338067e-05,0.8404047849090935,0.3512218876720419,0.30502658946159794,True,False,"[[0, 1], [1, 0], [2, 3], [3, 2]]"
hetero4,local,2,3,0,0.9151064157485962,0.9175662994384766,0.9147747075557708,0.002791591882705724,0.49309067798229345,0.0028791046816865062,0.2845337703939728,False,False,"[[0, 0], [1, 2], [2, 1], [3, 3]]"
hetero4,induction,2,3,0,0.9151064157485962,0.9175662994384766,0.9147747075557708,0.002791591882705724,0.2924898765558208,0.45856586926069154,0.5271056774162931,False,False,"[[0, 0], [1, 2], [2, 1], [3, 3]]"
hetero4,local,2,3,1,0.7214048504829407,0.7214471101760864,0.7214082670211792,3.88431549072088e-05,0.9692517083803105,0.08601821374966812,0.30070025930492367,True,False,"[[0, 1], [1, 0], [2, 3], [3, 2]]"
hetero4,induction,2,3,1,0.7214048504829407,0.7214471101760864,0.7214082670211792,3.88431549072088e-05,0.9850979366907959,0.17034522276592123,0.263921122754268,True,False,"[[0, 1], [1, 0], [2, 3], [3, 2]]"
hetero4,local,2,4,0,0.9052613973617554,0.9101933240890503,0.9047197568416595,0.005473567247390787,0.6484584574740933,0.5721538141172103,0.39155319783315967,True,False,"[[0, 1], [1, 3], [2, 0], [3, 2]]"
hetero4,induction,2,4,0,0.9052613973617554,0.9101933240890503,0.9047197568416595,0.005473567247390787,0.7803920344786408,0.4944936626326605,0.5364891624732069,True,False,"[[0, 1], [1, 3], [2, 0], [3, 2]]"
hetero4,local,2,4,1,0.8605814576148987,0.8605827689170837,0.8605053240060806,7.744491100314388e-05,0.9902935611454773,0.9900509124235302,0.2555283320683918,True,True,"[[0, 1], [1, 0], [2, 2], [3, 3]]"
hetero4,induction,2,4,1,0.8605814576148987,0.8605827689170837,0.8605053240060806,7.744491100314388e-05,0.9526879478831928,0.9526879478831928,0.3261709890374287,True,True,"[[0, 1], [1, 0], [2, 2], [3, 3]]"
hetero4,local,2,5,0,0.9159740805625916,0.9190079569816589,0.9159101766347885,0.003097780346870471,0.01100530069213268,0.49229977076990805,0.4261571528708155,False,False,"[[0, 2], [1, 1], [2, 3], [3, 0]]"
hetero4,induction,2,5,0,0.9159740805625916,0.9190079569816589,0.9159101766347885,0.003097780346870471,0.38115189396096216,0.5055152154413785,0.5494223988342778,False,False,"[[0, 2], [1, 1], [2, 3], [3, 0]]"
hetero4,local,2,5,1,0.947378933429718,0.9474230408668518,0.9473812806606293,4.176020622248533e-05,0.858277393538655,0.8098552755365487,0.3613893465420366,True,True,"[[0, 1], [1, 2], [2, 0], [3, 3]]"
hetero4,induction,2,5,1,0.947378933429718,0.9474230408668518,0.9473812806606293,4.176020622248533e-05,0.8220777304458271,0.76460131589921,0.3363035654814767,True,True,"[[0, 1], [1, 2], [2, 0], [3, 3]]"
hetero4,local,3,4,0,0.9073482751846313,0.9120904207229614,0.9088688212633133,0.0032215994596481723,0.1554315472206842,0.13645586037372703,0.31424800618516086,False,False,"[[0, 1], [1, 2], [2, 3], [3, 0]]"
hetero4,induction,3,4,0,0.9073482751846313,0.9120904207229614,0.9088688212633133,0.0032215994596481723,0.2835340061764572,0.4413145159493068,0.46183283565417904,False,False,"[[0, 1], [1, 2], [2, 3], [3, 0]]"
hetero4,local,3,4,1,0.6363644003868103,0.6363774538040161,0.6363284105062484,4.9043297767670246e-05,0.9776828684091328,0.057124378523901176,0.3464669455288558,True,False,"[[0, 3], [1, 1], [2, 0], [3, 2]]"
hetero4,induction,3,4,1,0.6363644003868103,0.6363774538040161,0.6363284105062484,4.9043297767670246e-05,0.961118439698606,0.16673525275123668,0.30931231339674214,True,False,"[[0, 3], [1, 1], [2, 0], [3, 2]]"
hetero4,local,3,5,0,0.9074638485908508,0.9122710824012756,0.9088650631904602,0.003406019210815403,0.12414478816982144,0.133173595261734,0.34232001984184085,False,False,"[[0, 2], [1, 1], [2, 0], [3, 3]]"
hetero4,induction,3,5,0,0.9074638485908508,0.9122710824012756,0.9088650631904602,0.003406019210815403,0.5418324158028718,0.5418324158028718,0.48201973814490395,False,False,"[[0, 2], [1, 1], [2, 0], [3, 3]]"
hetero4,local,3,5,1,0.7730200886726379,0.7730231285095215,0.7729303818941117,9.27466154098111e-05,0.8317362134758285,0.8140623870934118,0.30903899883810576,True,True,"[[0, 2], [1, 1], [2, 0], [3, 3]]"
hetero4,induction,3,5,1,0.7730200886726379,0.7730231285095215,0.7729303818941117,9.27466154098111e-05,0.8285968288133292,0.7795033792084141,0.3038118494874634,True,True,"[[0, 2], [1, 1], [2, 0], [3, 3]]"
hetero4,local,4,5,0,0.9085747599601746,0.9195106029510498,0.9123539417982102,0.0071566611528396384,0.10383914472226596,0.7459557696297083,0.3608535708048964,False,True,"[[0, 3], [1, 2], [2, 1], [3, 0]]"
hetero4,induction,4,5,0,0.9085747599601746,0.9195106029510498,0.9123539417982102,0.0071566611528396384,0.3354424711125198,0.8994821001464351,0.5048087849388633,False,True,"[[0, 3], [1, 2], [2, 1], [3, 0]]"
