config,head_dims_json,seed,role,accuracy,loss,top_layer,top_head,top_head_dim,top_slot,top_role_score,top_specialization,top_is_64
hetero4,"[16, 16, 32, 64]",1,local,1.0,0.0001861401615315117,1,3,64,L1H3:d64,0.11725240901432699,0.9626769836519916,True
hetero4,"[16, 16, 32, 64]",1,induction,1.0,0.0007585166458738968,0,3,64,L0H3:d64,3.719407034062897,0.8858530515419614,True
hetero4,"[16, 16, 32, 64]",2,local,1.0,0.00016956328545347787,1,3,64,L1H3:d64,0.19264648930038675,0.9380185309887104,True
hetero4,"[16, 16, 32, 64]",2,induction,1.0,0.0007426235388265923,1,3,64,L1H3:d64,1.1410492267896188,0.8980801094148515,True
hetero4,"[16, 16, 32, 64]",3,local,1.0,0.00017792225116863847,1,3,64,L1H3:d64,0.1556771969771944,0.9645597110515368,True
hetero4,"[16, 16, 32, 64]",3,induction,1.0,0.0007538343197666109,1,3,64,L1H3:d64,1.099033311533276,0.8896496175994383,True
hetero4,"[16, 16, 32, 64]",4,local,1.0,0.00021121456666151062,0,0,16,L0H0:d16,0.2027236019130214,0.7668715064425554,False
hetero4,"[16, 16, 32, 64]",4,induction,0.9960938096046448,0.01569452928379178,0,0,16,L0H0:d16,5.841112106572837,0.7316110547600359,False
hetero4,"[16, 16, 32, 64]",5,local,1.0,0.00015198982146102935,1,3,64,L1H3:d64,0.11386924811813515,0.7962959245273653,True
hetero4,"[16, 16, 32, 64]",5,induction,1.0,0.0007058668415993452,0,3,64,L0H3:d64,1.5006770205218345,0.6889789452300142,True
hetero4_64first,"[64, 16, 16, 32]",1,local,1.0,0.00019091623107669875,1,0,64,L1H0:d64,0.08661799995024921,0.9138171293241889,True
hetero4_64first,"[64, 16, 16, 32]",1,induction,1.0,0.0007676616369280964,0,2,16,L0H2:d16,4.1969606146158185,0.8153023795647876,False
hetero4_64first,"[64, 16, 16, 32]",2,local,0.99951171875,0.0038536419888259843,1,0,64,L1H0:d64,0.21338571554224472,0.9017765372307056,True
hetero4_64first,"[64, 16, 16, 32]",2,induction,0.9932292103767395,0.026944650802761316,0,2,16,L0H2:d16,2.534227059688419,0.5485229986195936,False
hetero4_64first,"[64, 16, 16, 32]",3,local,1.0,0.00020251982641639188,1,0,64,L1H0:d64,0.10590993984806119,0.9194796387378601,True
hetero4_64first,"[64, 16, 16, 32]",3,induction,1.0,0.0007758914289297536,0,0,64,L0H0:d64,1.4997170985880075,0.6358801117159304,True
hetero4_64first,"[64, 16, 16, 32]",4,local,1.0,0.00019882498236256652,1,0,64,L1H0:d64,0.06876382445989293,0.8886456203967676,True
hetero4_64first,"[64, 16, 16, 32]",4,induction,1.0,0.001116459141485393,1,0,64,L1H0:d64,0.9710730417864397,0.8036998558257298,True
hetero4_64first,"[64, 16, 16, 32]",5,local,1.0,0.0001499076643085573,1,0,64,L1H0:d64,0.2162646258911991,0.9695555516074501,True
hetero4_64first,"[64, 16, 16, 32]",5,induction,1.0,0.0007190179749159142,0,1,16,L0H1:d16,4.594219260223326,0.8065912976003505,False
hetero4_64second,"[16, 64, 16, 32]",1,local,1.0,0.00017355730597046204,1,1,64,L1H1:d64,0.09532399872477981,0.8985714599371512,True
hetero4_64second,"[16, 64, 16, 32]",1,induction,1.0,0.0007582013058708981,0,2,16,L0H2:d16,4.450135796840186,0.8029774353543498,False
hetero4_64second,"[16, 64, 16, 32]",2,local,1.0,0.0001825037870730739,1,1,64,L1H1:d64,0.12341281962653738,0.936010774126448,True
hetero4_64second,"[16, 64, 16, 32]",2,induction,1.0,0.0007563607068732381,0,2,16,L0H2:d16,2.2585802896646783,0.8119936814787315,False
hetero4_64second,"[16, 64, 16, 32]",3,local,1.0,0.00016575333938817494,1,1,64,L1H1:d64,0.10369300069942256,0.8713780172925573,True
hetero4_64second,"[16, 64, 16, 32]",3,induction,1.0,0.0007117608183762059,1,1,64,L1H1:d64,0.9731736412650207,0.7827221508237574,True
hetero4_64second,"[16, 64, 16, 32]",4,local,1.0,0.00018254583483212627,1,1,64,L1H1:d64,0.1666872658788634,0.9508917724922983,True
hetero4_64second,"[16, 64, 16, 32]",4,induction,1.0,0.0007980665104696527,0,0,16,L0H0:d16,3.2303306261164835,0.5715587677401928,False
hetero4_64second,"[16, 64, 16, 32]",5,local,1.0,0.0001618061251065228,1,1,64,L1H1:d64,0.2201156821065524,0.9639048542462687,True
hetero4_64second,"[16, 64, 16, 32]",5,induction,1.0,0.0006926110363565385,0,2,16,L0H2:d16,5.311349386873189,0.6534131672085046,False
hetero4_64third,"[16, 32, 64, 16]",1,local,1.0,0.00016764606698416173,1,2,64,L1H2:d64,0.07402531933621503,0.951381349305282,True
hetero4_64third,"[16, 32, 64, 16]",1,induction,1.0,0.0007321610755752772,0,3,16,L0H3:d16,2.1710077747993637,0.5438341368113901,False
hetero4_64third,"[16, 32, 64, 16]",2,local,1.0,0.00016364576367777772,1,2,64,L1H2:d64,0.16613973183484632,0.978332087357836,True
hetero4_64third,"[16, 32, 64, 16]",2,induction,1.0,0.0007213128847070038,1,2,64,L1H2:d64,1.1894487367826514,0.9149862594576049,True
hetero4_64third,"[16, 32, 64, 16]",3,local,1.0,0.00020067456716788001,1,2,64,L1H2:d64,0.176017056521232,0.9665173271268458,True
hetero4_64third,"[16, 32, 64, 16]",3,induction,1.0,0.0007851994450902566,1,2,64,L1H2:d64,1.106728943545022,0.871745458024643,True
hetero4_64third,"[16, 32, 64, 16]",4,local,1.0,0.00017121027485700324,1,2,64,L1H2:d64,0.2459327209435287,0.973886261932752,True
hetero4_64third,"[16, 32, 64, 16]",4,induction,1.0,0.0007489942654501647,0,0,16,L0H0:d16,1.3631456471339334,0.48718330950177385,False
hetero4_64third,"[16, 32, 64, 16]",5,local,0.999755859375,0.0006228352322068531,1,2,64,L1H2:d64,0.06885918021362158,0.8471779889735854,True
hetero4_64third,"[16, 32, 64, 16]",5,induction,0.996614620089531,0.013415532419458032,1,2,64,L1H2:d64,1.392700565746054,0.6323623241467032,True
